"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (13)","/src/google/protobuf/extension_set.h","1080","23","1080","46"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (15)","/src/google/protobuf/extension_set.h","840","9","840","21"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (24)","/src/google/protobuf/extension_set.h","553","11","553","11"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (27)","/src/google/protobuf/any.pb.h","69","23","69","25"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (12)","/src/google/protobuf/io/zero_copy_stream_impl_lite.h","133","23","133","40"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (12)
This class has too many dependencies (14)
This class has too many dependencies (13)
This class has too many dependencies (16)
This class has too many dependencies (17)
This class has too many dependencies (20)","/src/google/protobuf/arena.h","411","9","411","22"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (11)
This class has too many dependencies (13)
This class has too many dependencies (15)
This class has too many dependencies (19)","/src/google/protobuf/arena.h","470","10","470","31"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (26)","/src/google/protobuf/api.pb.h","563","23","563","27"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (18)
This class has too many dependencies (38)
This class has too many dependencies (12)
This class has too many dependencies (40)
This class has too many dependencies (14)","/src/google/protobuf/repeated_field.h","2421","7","2421","25"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (31)","/src/google/protobuf/api.pb.h","331","23","331","28"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (28)","/src/google/protobuf/type.pb.h","1180","23","1180","28"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (26)","/src/google/protobuf/source_context.pb.h","69","23","69","35"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (31)","/src/google/protobuf/type.pb.h","1006","23","1006","31"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (36)","/src/google/protobuf/type.pb.h","792","23","792","26"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (32)","/src/google/protobuf/type.pb.h","422","23","422","27"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (41)","/src/google/protobuf/type.pb.h","182","23","182","26"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (13)","/src/google/protobuf/type.pb.h","48","24","48","67"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (39)","/src/google/protobuf/api.pb.h","79","23","79","25"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (11)","/src/google/protobuf/api.pb.h","47","24","47","66"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (14)","/src/google/protobuf/compiler/code_generator.h","130","21","130","36"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (29)","/src/google/protobuf/compiler/plugin.pb.h","115","21","115","27"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (29)","/src/google/protobuf/descriptor.pb.h","6411","23","6411","39"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (14)","/src/google/protobuf/compiler/code_generator.h","69","21","69","33"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (52)","/src/google/protobuf/descriptor.pb.h","485","23","485","41"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (29)","/src/google/protobuf/descriptor.pb.h","6047","23","6047","36"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (38)","/src/google/protobuf/descriptor.pb.h","3370","23","3370","33"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (36)","/src/google/protobuf/descriptor.pb.h","5137","23","5137","35"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (30)","/src/google/protobuf/descriptor.pb.h","3121","23","3121","43"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (35)","/src/google/protobuf/descriptor.pb.h","4966","23","4966","36"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (35)","/src/google/protobuf/descriptor.pb.h","2926","23","2926","44"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (35)","/src/google/protobuf/descriptor.pb.h","4795","23","4795","38"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (30)","/src/google/protobuf/descriptor.pb.h","2736","23","2736","46"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (35)","/src/google/protobuf/descriptor.pb.h","4609","23","4609","33"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (43)","/src/google/protobuf/descriptor.pb.h","2493","23","2493","41"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (32)","/src/google/protobuf/descriptor.pb.h","4454","23","4454","34"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (30)","/src/google/protobuf/descriptor.pb.h","2155","23","2155","42"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (36)","/src/google/protobuf/descriptor.pb.h","4144","23","4144","34"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (31)","/src/google/protobuf/descriptor.pb.h","1723","23","1723","42"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (35)","/src/google/protobuf/descriptor.pb.h","3928","23","3928","36"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (54)","/src/google/protobuf/descriptor.pb.h","1224","23","1224","37"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (32)","/src/google/protobuf/descriptor.pb.h","1568","23","1568","43"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (28)","/src/google/protobuf/descriptor.pb.h","878","23","878","52"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (34)","/src/google/protobuf/descriptor.pb.h","5528","23","5528","41"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (34)","/src/google/protobuf/descriptor.pb.h","6201","23","6201","50"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (39)","/src/google/protobuf/descriptor.pb.h","5794","23","5794","45"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (29)","/src/google/protobuf/descriptor.pb.h","5355","23","5355","50"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (27)","/src/google/protobuf/descriptor.pb.h","2330","23","2330","59"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (27)","/src/google/protobuf/descriptor.pb.h","1061","23","1061","51"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (30)","/src/google/protobuf/descriptor.pb.h","333","23","333","39"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (35)","/src/google/protobuf/compiler/plugin.pb.h","755","21","755","41"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (30)","/src/google/protobuf/compiler/plugin.pb.h","536","21","536","46"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (40)","/src/google/protobuf/compiler/plugin.pb.h","315","21","315","40"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (12)","/src/google/protobuf/compiler/plugin.pb.h","53","22","53","78"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (166)","/src/google/protobuf/compiler/command_line_interface.h","110","21","110","40"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (30)","/src/google/protobuf/compiler/command_line_interface.cc","365","7","365","48"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (28)","/src/google/protobuf/descriptor_database.h","162","23","162","46"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (38)","/src/google/protobuf/text_format.h","484","25","484","37"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (14)","/src/google/protobuf/descriptor_database.h","71","23","71","40"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (19)","/src/google/protobuf/compiler/importer.h","241","23","241","36"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (32)","/src/google/protobuf/compiler/command_line_interface.cc","407","7","407","46"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (13)","/src/google/protobuf/compiler/command_line_interface.cc","276","7","276","40"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (13)","/src/google/protobuf/compiler/subprocess.h","59","21","59","30"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (60)","/src/google/protobuf/io/printer.h","182","23","182","29"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (37)","/src/google/protobuf/dynamic_message.h","81","23","81","43"
